local_authority_code,lsoa_code_21,lsoa_name_21,lsoa_code_11,lsoa_name_11
E06000023,E01014545,Bristol 030B,E01014545,Bristol 030B
E06000023,E01014496,Bristol 008E,E01014496,Bristol 008E
E06000023,E01014573,Bristol 019B,E01014573,Bristol 019B
E06000023,E01014546,Bristol 030C,E01014546,Bristol 030C
E06000023,E01014575,Bristol 019C,E01014575,Bristol 019C
E06000023,E01014499,Bristol 008F,E01014499,Bristol 008F
E06000023,E01014547,Bristol 030D,E01014547,Bristol 030D
E06000023,E01014576,Bristol 019D,E01014576,Bristol 019D
E06000023,E01014715,Bristol 009A,E01014715,Bristol 009A
E06000023,E01014716,Bristol 009B,E01014716,Bristol 009B
E06000023,E01014717,Bristol 009C,E01014717,Bristol 009C
E06000023,E01014538,Bristol 060A,E01014538,Bristol 032A
E06000023,E01033907,Bristol 061A,E01014540,Bristol 032B
E06000023,E01014718,Bristol 009D,E01014718,Bristol 009D
E06000023,E01014487,Bristol 020A,E01014487,Bristol 020A
E06000023,E01033908,Bristol 061B,E01014540,Bristol 032B
E06000023,E01014491,Bristol 020B,E01014491,Bristol 020B
E06000023,E01033910,Bristol 061E,E01014540,Bristol 032B
E06000023,E01014668,Bristol 020C,E01014668,Bristol 020C
E06000023,E01014510,Bristol 010A,E01014510,Bristol 010A
E06000023,E01033904,Bristol 060B,E01014542,Bristol 032C
E06000023,E01014669,Bristol 020D,E01014669,Bristol 020D
E06000023,E01014635,Bristol 010B,E01014635,Bristol 010B
E06000023,E01033905,Bristol 060C,E01014542,Bristol 032C
E06000023,E01014670,Bristol 020E,E01014670,Bristol 020E
E06000023,E01014637,Bristol 010C,E01014637,Bristol 010C
E06000023,E01033344,Bristol 060D,E01033344,Bristol 032E
E06000023,E01014662,Bristol 010D,E01014662,Bristol 010D
E06000023,E01033906,Bristol 060E,E01033345,Bristol 032F
E06000023,E01014615,Bristol 011A,E01014615,Bristol 011A
E06000023,E01033909,Bristol 061C,E01033345,Bristol 032F
E06000023,E01014617,Bristol 011B,E01014617,Bristol 011B
E06000023,E01033350,Bristol 061D,E01033350,Bristol 032G
E06000023,E01014618,Bristol 011C,E01014618,Bristol 011C
E06000023,E01014677,Bristol 033A,E01014677,Bristol 033A
E06000023,E01014620,Bristol 011D,E01014620,Bristol 011D
E06000023,E01014571,Bristol 012A,E01014571,Bristol 012A
E06000023,E01014678,Bristol 033B,E01014678,Bristol 033B
E06000023,E01014577,Bristol 012B,E01014577,Bristol 012B
E06000023,E01014679,Bristol 033C,E01014679,Bristol 033C
E06000023,E01014586,Bristol 012C,E01014586,Bristol 012C
E06000023,E01014680,Bristol 033D,E01014680,Bristol 033D
E06000023,E01014587,Bristol 012D,E01014587,Bristol 012D
E06000023,E01014548,Bristol 034A,E01014548,Bristol 034A
E06000023,E01014588,Bristol 013A,E01014588,Bristol 013A
E06000023,E01014671,Bristol 020F,E01014671,Bristol 020F
E06000023,E01014549,Bristol 034B,E01014549,Bristol 034B
E06000023,E01014622,Bristol 021A,E01014622,Bristol 021A
E06000023,E01014589,Bristol 013B,E01014589,Bristol 013B
E06000023,E01014550,Bristol 034C,E01014550,Bristol 034C
E06000023,E01014623,Bristol 021B,E01014623,Bristol 021B
E06000023,E01014590,Bristol 013C,E01014590,Bristol 013C
E06000023,E01014555,Bristol 034D,E01014555,Bristol 034D
E06000023,E01014626,Bristol 021C,E01014626,Bristol 021C
E06000023,E01014601,Bristol 001A,E01014601,Bristol 001A
E06000023,E01014602,Bristol 001B,E01014602,Bristol 001B
E06000023,E01014603,Bristol 001C,E01014603,Bristol 001C
E06000023,E01014605,Bristol 001E,E01014605,Bristol 001E
E06000023,E01032516,Bristol 001G,E01032516,Bristol 001G
E06000023,E01032517,Bristol 001H,E01032517,Bristol 001H
E06000023,E01014688,Bristol 002A,E01014688,Bristol 002A
E06000023,E01014689,Bristol 002B,E01014689,Bristol 002B
E06000023,E01014690,Bristol 002C,E01014690,Bristol 002C
E06000023,E01014691,Bristol 002D,E01014691,Bristol 002D
E06000023,E01014692,Bristol 002E,E01014692,Bristol 002E
E06000023,E01014693,Bristol 002F,E01014693,Bristol 002F
