postcode,lsoa_code,msoa_code
BS1 1AA,E01033353,E02006887
BS1 1AB,E01033353,E02006887
BS1 1AD,E01033358,E02006887
BS1 1AE,E01033353,E02006887
BS1 1AF,E01033353,E02006887
BS1 1AG,E01033353,E02006887
BS1 1AH,E01033353,E02006887
BS1 1AJ,E01033353,E02006887
BS1 1AL,E01033353,E02006887
BS1 1AN,E01033353,E02006887
BS1 1AP,E01033353,E02006887
BS1 1AQ,E01033353,E02006887
BS1 1AR,E01033353,E02006887
BS1 1BA,E01033908,E02006952
BS1 1BB,E01033353,E02006887
BS1 1BD,E01033353,E02006887
BS1 1BE,E01033353,E02006887
BS1 1BF,E01033353,E02006887
BS1 1BG,E01033353,E02006887
BS1 1BH,E01033353,E02006887
BS1 1BJ,E01033353,E02006887
BS1 1BL,E01033353,E02006887
BS1 1BN,E01033353,E02006887
BS1 1BP,E01033353,E02006887
BS1 1BT,E01033907,E02006952
BS1 1BU,E01033907,E02006952
BS1 1BX,E01033353,E02006887
BS1 1BZ,E01033907,E02006952
BS1 1DA,E01033907,E02006952
BS1 1DB,E01033907,E02006952
BS1 1DD,E01014654,E02006889
BS1 1DE,E01033907,E02006952
BS1 1DF,E01033907,E02006952
BS1 1DH,E01033907,E02006952
BS1 1DJ,E01033907,E02006952
BS1 1DL,E01033907,E02006952
BS1 1DN,E01033907,E02006952
BS1 1DP,E01033907,E02006952
BS1 1DQ,E01033908,E02006952
BS1 1DR,E01033907,E02006952
BS1 1DS,E01033907,E02006952
BS1 1DT,E01033907,E02006952
BS1 1DU,E01033907,E02006952
BS1 1DW,E01033907,E02006952
BS1 1DX,E01033907,E02006952
BS1 1DY,E01033907,E02006952
BS1 1DZ,E01033907,E02006952
BS1 1EA,E01033907,E02006952
BS1 1EB,E01033907,E02006952
BS1 1ED,E01033908,E02006952
BS1 1EE,E01033907,E02006952
BS1 1EF,E01033907,E02006952
BS1 1EG,E01033907,E02006952
BS1 1EH,E01033907,E02006952
BS1 1EJ,E01033907,E02006952
BS1 1EL,E01033907,E02006952
BS1 1EN,E01033907,E02006952
BS1 1EP,E01033907,E02006952
BS1 1EQ,E01033907,E02006952
BS1 1EW,E01033907,E02006952
BS1 1GB,E01033907,E02006952
BS1 1HA,E01033908,E02006952
BS1 1HG,E01033908,E02006952
BS1 1HH,E01033908,E02006952
BS1 1HJ,E01033907,E02006952
BS1 1HL,E01033907,E02006952
BS1 1HN,E01033908,E02006952
